Year,Vision,Language,TimeSeries,Graph,Audio,Spatial,Sensor,Tabular
2019,74,33,50,7,30,7,17,6
2020,141,48,81,9,44,16,31,6
2021,172,92,98,32,72,18,34,19
2022,193,101,128,39,60,27,43,24
2023,348,252,171,51,94,38,68,37
2024,715,657,342,72,184,98,94,78
2025,1705,1650,877,205,419,319,250,417
