Year,Vision,Language,Time series,Audio,Sensor,Spatial,Graph,Tabular
2019,74,33,51,30,17,7,7,6
2020,142,49,82,44,31,16,9,6
2021,174,92,100,73,34,18,33,19
2022,197,105,129,61,43,27,41,25
2023,362,259,178,101,71,40,52,39
2024,920,850,413,238,115,128,91,103
