Year,Pairwise,Triple,Quadruple,Quintuple
2019,43,20,6,0
2020,61,36,8,1
2021,106,54,12,0
2022,103,70,13,0
2023,222,102,22,2
2024,491,189,54,6
2025,1199,599,164,27
