year,multimodal_ai_pct,generative_ai_pct,mm_generative_ai_pct
2020,0.7874,3.5502,0.0414
2021,0.7291,3.4738,0.0536
2022,0.9359,3.3323,0.0242
2023,1.2499,4.2470,0.0672
2024,1.8011,4.8874,0.2084
2025,3.0934,6.2372,0.3900
