year,total,composition,microstructure,processing,testing_characterisation
2020,32,2,6,6,18
2021,48,4,11,9,24
2022,78,8,21,15,34
2023,145,11,49,33,52
2024,252,29,73,55,95
2025,579,52,164,141,222
