year,composition_pct,microstructure_pct,processing_pct,testing_characterisation_pct
2020,6.25,18.75,18.75,56.25
2021,8.33,22.92,18.75,50.00
2022,10.26,26.92,19.23,43.59
2023,7.59,33.79,22.76,35.86
2024,11.51,28.97,21.83,37.70
2025,9.03,28.47,24.48,38.02
